1,11
2,12
3,16
4,3
5,16
6,6
7,7
8,8
9,9
10,13
11,15
12,12
13,12
14,2
15,13
16,6
17,6
18,13
19,9
20,4
21,1
22,8
23,2
24,14
25,12
26,16
27,15
28,7
29,10
30,7
31,1
32,13
33,10
34,14
35,8
36,15
37,7
38,16
39,3
40,16
41,11
42,7
43,13
44,15
45,3
46,11
47,16
48,9
49,15
50,13
51,1
52,11
53,13
54,12
55,16
56,7
57,16
58,2
59,4
60,11
61,2
62,14
63,11
64,1
65,11
66,14
67,10
68,11
69,11
70,8
71,11
72,11
73,13
74,1
75,11
76,2
77,6
78,11
79,4
80,10
81,7
82,14
83,1
84,3
85,14
86,13
87,13
88,12
89,16
90,7
91,11
92,8
93,9
94,7
95,6
96,9
97,13
98,11
99,15
100,3
101,8
102,13
103,12
104,13
105,5
106,9
107,6
108,4
109,4
110,10
111,6
112,3
113,6
114,4
115,15
116,11
117,12
118,5
119,5
120,11
121,13
122,1
123,14
124,16
125,1
126,5
127,7
128,3
129,11
130,14
131,2
132,10
133,5
134,13
135,14
136,6
137,9
138,9
139,2
140,11
141,9
142,2
143,11
144,7
145,2
146,4
147,12
148,10
149,15
150,9
151,13
152,7
153,4
154,8
155,3
156,4
157,15
158,5
159,6
160,6
161,14
162,16
163,13
164,7
165,7
166,7
167,5
168,3
169,16
170,6
171,15
172,6
173,14
174,1
175,1
176,14
177,14
178,14
179,12
180,1
181,2
182,5
183,8
184,1
185,15
186,14
187,3
188,2
189,15
190,15
191,1
192,2
193,5
194,12
195,12
196,7
197,12
198,14
199,11
200,2
201,6
202,7
203,1
204,1
205,3
206,7
207,15
208,6
209,10
210,10
211,15
212,14
213,14
214,16
215,3
216,15
217,16
218,15
219,11
220,14
221,1
222,15
223,5
224,6
225,5
226,15
227,15
228,3
229,6
230,8
231,5
232,16
233,4
234,12
235,13
236,7
237,7
238,15
239,10
240,14
241,5
242,7
243,3
244,7
245,9
246,14
247,15
248,16
249,16
250,9
251,13
252,3
